year,month,day,rad,tx,tn,p,rhx,rhn
2013,4,17,23.017,27.3,12.9,0,87,39
2013,4,18,24.21,28.3,12.6,0,91,38
2013,4,19,24.228,26.9,11.4,2.6,91,41
2013,4,20,12.851,13.5,9.2,17,95,78
2013,4,21,17.203,16.9,9.3,11.8,95,77
2013,4,22,14.048,16.1,11.1,4.4,94,74
2013,4,23,21.07,22.4,11.3,0.2,95,47
2013,4,24,22.596,23.8,11.2,0.2,93,40
2013,4,25,25.059,25.7,10.4,0,92,35
2013,4,26,15.659,20.5,14.6,3.4,93,67
2013,4,27,14.648,19.2,14.1,0.4,95,80
2013,4,28,18.571,20.9,12.8,15.6,96,63
2013,4,29,13.768,17.3,12.9,18.8,95,90
2013,4,30,18.438,21.7,13.9,4.8,95,77
2013,5,1,21.615,25.4,14.8,2.4,92,57
2013,5,2,23.508,26.3,13.9,1.2,92,54
2013,5,3,21.955,23.5,12.8,0,93,59
2013,5,4,25.604,25.9,11.5,0,91,42
2013,5,5,23.591,25,12.9,9,93,50
2013,5,6,19.989,22.8,14.2,2.2,94,63
2013,5,7,23.827,24.8,12.7,15.8,95,57
2013,5,8,25.475,25.8,12.1,1.2,95,49
2013,5,9,23.449,27.3,15.8,0,91,44
2013,5,10,18.378,22.6,15.6,5.2,93,68
2013,5,11,25.157,26.3,13.3,2.4,95,41
2013,5,12,24.676,25.6,13.2,0.2,85,28
2013,5,13,26.046,25,11.3,0,73,34
2013,5,14,25.573,25.3,12.2,1.8,83,46
2013,5,15,17.52,19.7,13.6,0.8,84,67
2013,5,16,13.698,15.2,11.5,57.2,96,87
2013,5,17,20.468,21.2,13,4.2,96,51
2013,5,18,20.915,19.1,10.6,23,95,62
2013,5,19,22.992,21,10.8,33.4,96,53
2013,5,20,22.147,21.3,11.9,1.2,90,53
2013,5,21,21.982,21,11.8,1.2,87,52
2013,5,22,26.011,22.4,9.6,0,92,50
2013,5,23,25.887,25.4,12.8,0.2,70,34
2013,5,24,18.791,16.9,10.3,9.2,78,49
2013,5,25,18.264,14.4,8.2,8.2,89,63
2013,5,26,29.786,22.9,6.5,0,93,28
2013,5,27,27.096,22.8,9.3,0,87,44
2013,5,28,20.78,21.5,13.6,0,85,55
2013,5,29,22.842,20.6,11.1,4.2,88,43
2013,5,30,25.944,22.8,10.6,2.2,91,33
2013,5,31,17.928,15.8,10,0,90,79
2013,6,1,25.076,23.15,11.85,0,90,52
2013,6,2,30.636,30.5,13.7,0,90,25
2013,6,3,25.172,26.2,14.9,0,87,36
2013,6,4,27.357,27.8,14.5,0,89,36
2013,6,5,26.029,28.3,16.3,0,81,39
2013,6,6,26.606,28.4,15.9,0,76,42
2013,6,7,24.536,29.3,18.7,0,81,44
2013,6,8,25.812,29.2,17.5,0,87,44
2013,6,9,22.286,23.9,15.2,7,92,52
2013,6,10,24.858,24.9,14.1,0,93,53
2013,6,11,30.001,30.5,14.8,0,90,31
2013,6,12,28.255,31.4,17.5,0,84,28
2013,6,13,27.556,31.6,18.4,0,82,35
2013,6,14,26.182,31.7,19.8,0,80,42
2013,6,15,25.073,30.8,19.9,0,87,55
2013,6,16,26.755,32,19.6,0,89,50
2013,6,17,27.511,34.3,21.2,0,86,42
2013,6,18,27.518,35.9,22.8,0,88,40
2013,6,19,25.562,35.7,24.4,0,84,37
2013,6,20,22.041,29.2,20.8,0.8,84,59
2013,6,21,25.336,29.9,18.8,0,84,40
2013,6,22,25.785,30.4,18.9,0,86,43
2013,6,23,24.632,28.9,18.4,0.8,88,54
2013,6,24,25.992,29,17.3,0,87,25
2013,6,25,28.923,29.4,14.9,0,68,23
2013,6,26,25.743,28,16.5,0,72,29
2013,6,27,24.931,24.4,13.6,0,91,52
2013,6,28,25.706,23.8,12.3,0,94,45
2013,6,29,25.683,24.8,13.3,0,90,46
2013,6,30,31.104,30.6,13.7,0,92,30
2013,7,1,28.581,30.3,16,0,90,41
2013,7,2,27.737,30.9,17.4,0,84,38
2013,7,3,22.743,27.2,18.1,0,89,60
2013,7,4,28.964,31.6,16.8,0,92,43
2013,7,5,28.228,33.5,19.4,0,88,38
2013,7,6,26.429,33.7,21.3,0,87,42
2013,7,7,24.163,32.4,22,0,88,45
2013,7,8,24.578,32.5,21.7,0,83,45
2013,7,9,25.532,32.4,20.7,0,86,44
2013,7,10,26.126,32.2,19.9,0,92,47
2013,7,11,26.801,32.9,19.9,0,90,50
2013,7,12,24.374,31.4,20.6,0,83,53
2013,7,13,23.632,31.6,21.4,1,88,59
2013,7,14,25.887,31.2,18.9,3.4,91,50
2013,7,15,26.443,32.6,19.7,0.2,92,48
2013,7,16,26.576,33.1,20,0,92,52
2013,7,17,22.33,31.1,21.8,0.4,89,49
2013,7,18,17.431,25.6,19.9,21,90,70
2013,7,19,27.041,32.2,18.4,0,93,44
2013,7,20,26.957,32.9,19.1,0.2,91,45
2013,7,21,27.257,33.5,19.3,0,90,49
2013,7,22,25.284,33.5,21.2,0.2,91,49
2013,7,23,26.883,34.3,20.3,0,90,46
2013,7,24,24.903,33.3,21.2,0,87,48
2013,7,25,25.42,33.8,21.1,0,93,56
2013,7,26,25.125,34.5,22,0,92,53
2013,7,27,25.523,35.5,22.5,0,91,51
2013,7,28,24.928,35.3,22.8,0,91,42
2013,7,29,22.753,28.3,17.8,19.6,91,65
2013,7,30,28.915,32.7,15.6,0,94,34
2013,7,31,28.022,33.3,17.1,0.2,93,42
2013,8,1,27.023,34.1,18.9,0,92,43
2013,8,2,28.781,36.4,19,0,93,45
2013,8,3,25.419,34.9,21.2,0,92,51
2013,8,4,25.936,34.9,20.5,0,91,47
2013,8,5,25.539,35,20.9,0,91,53
2013,8,6,24.587,34.7,21.5,0,90,52
2013,8,7,20.642,31.1,21.7,0,92,65
2013,8,8,19.98,27,18.1,57.4,92,74
2013,8,9,25.541,31.7,17,1.2,93,47
2013,8,10,26.167,31.9,16.3,0,89,37
2013,8,11,25.685,32.3,17.1,0.2,91,44
2013,8,12,25.789,33.2,17.7,0,93,44
2013,8,13,25.473,33.5,18.2,0,94,51
2013,8,14,17.728,25.5,18,37.6,90,68
2013,8,15,22.381,29.4,17.3,0,92,45
2013,8,16,24.847,30.5,15.4,0,94,42
2013,8,17,24.854,31.8,16.5,0,94,48
2013,8,18,24.45,32.8,17.8,0.2,94,45
2013,8,19,22.262,30.3,17.7,0,92,63
2013,8,20,24.368,31.4,16.1,0,93,33
2013,8,21,24.516,30.2,14.5,0,94,37
2013,8,22,24.883,31,14.6,0,93,43
2013,8,23,23.392,31,16.3,0,92,45
2013,8,24,21.157,30.5,18.3,18,94,56
2013,8,25,20.655,28.1,16.3,1.2,95,54
2013,8,26,20.327,26.8,15.2,15.2,94,54
2013,8,27,19.734,26.8,15.7,0,94,53
2013,8,28,24.162,30.2,13.3,0,95,42
2013,8,29,20.7,28.9,16.3,0.2,93,54
2013,8,30,21.019,30,16.8,0,93,43
2013,8,31,21.852,29.9,15.4,0,94,49
2013,9,1,21.372,31,16.9,0,93,44
2013,9,2,20.738,29.6,16.1,0,91,42
2013,9,3,23.809,31.5,13.4,0,95,46
2013,9,4,22.193,31.7,15.7,0,93,47
2013,9,5,21.862,31.9,16.1,0,94,49
2013,9,6,21.042,31.5,16.6,0,92,51
2013,9,7,21.61,31.5,15.5,0,92,49
2013,9,8,17.592,29.1,18.3,0,90,56
2013,9,9,20.746,30.5,15.2,0,93,38
