sName,Variety,Pyear,DOY,FINT,YIELD_ATT,AGB,YIELD_DIS,RiceBlast
Collobiano,Balilla,2014,245,,,,0,15.1674132
Collobiano,Balilla,2014,252,,,,0,15.1674132
Collobiano,Balilla,2015,182,,,,0,0
Collobiano,Balilla,2015,189,,,,0,1.454011149
Collobiano,Balilla,2015,196,,,,0,1.454011149
Collobiano,Balilla,2015,203,,,,0,1.680279299
Collobiano,Balilla,2015,210,,,,0,1.73182555
Collobiano,Balilla,2015,217,,,,0,1.5583
Collobiano,Balilla,2015,224,,,,0,6.233489718
Collobiano,Balilla,2015,231,,,,0,9.358228572
Collobiano,Balilla,2015,238,,,,0,16.3682008
Collobiano,Balilla,2015,245,,,,0,16.3682008
Collobiano,Balilla,2015,252,,,,0,16.3682008
Collobiano,VialoneNano,2013,182,,,,0,0
Collobiano,VialoneNano,2013,189,,,,0,0
Collobiano,VialoneNano,2013,196,,,,0,0
Collobiano,VialoneNano,2013,203,,,,0,0
Collobiano,VialoneNano,2013,210,,,,0,0
Collobiano,VialoneNano,2013,217,,,,0,0.4620468
Collobiano,VialoneNano,2013,224,,,,0,0.4620468
Collobiano,VialoneNano,2013,231,,,,0,1.0861704
Collobiano,VialoneNano,2013,238,,,,0,1.0861704
Collobiano,VialoneNano,2013,245,,,,0,1.0861704
Collobiano,VialoneNano,2013,252,,,,0,1.0861704
Collobiano,VialoneNano,2014,182,,,,0,0
Collobiano,VialoneNano,2014,189,,,,0,0
Collobiano,VialoneNano,2014,196,,,,0,1.3676608
Collobiano,VialoneNano,2014,203,,,,0,1.6017352
Collobiano,VialoneNano,2014,210,,,,0,1.6017352
Collobiano,VialoneNano,2014,217,,,,0,1.6017352
Collobiano,VialoneNano,2014,224,,,,0,1.5787828
Collobiano,VialoneNano,2014,231,,,,0,1.5787828
Collobiano,VialoneNano,2014,238,,,,0,76.5206256
Collobiano,VialoneNano,2014,245,,,,0,76.5206256
Collobiano,VialoneNano,2014,252,,,,0,76.5206256
Collobiano,VialoneNano,2015,182,,,,0,0
Collobiano,VialoneNano,2015,189,,,,0,1.728967834
Collobiano,VialoneNano,2015,196,,,,0,1.680279299
Collobiano,VialoneNano,2015,203,,,,0,1.728967834
Collobiano,VialoneNano,2015,210,,,,0,1.728967834
Collobiano,VialoneNano,2015,217,,,,0,1.7247016
Collobiano,VialoneNano,2015,224,,,,0,1.558592333
Collobiano,VialoneNano,2015,231,,,,0,3.6514324
Collobiano,VialoneNano,2015,238,,,,0,15.1674132
Collobiano,VialoneNano,2015,245,,,,0,15.1674132
Collobiano,VialoneNano,2015,252,,,,0,15.1674132
